in.position.x,in.position.y,in.forward_vector.x,in.forward_vector.y,in.speed_ms,in.steering_angle_deg,vaste.whalbase_position.x,vaste.whalbase_position.y,vaste.front_axle_position.x,vaste.front_axle_position.y,vaste.rear_axle_position.x,vaste.rear_axle_position.y,vaste.forward_vector.x,vaste.forward_vector.y,vaste.result.acceleration,vaste.result.steering_angle_deg,control_point_distance_to_path
21.9956768,19.5595742,-0.7067928,0.7074206,0.2644785,9.3749990,21.9956768,19.5595742,20.6527705,20.9036734,23.3385831,18.2154750,-0.7067928,0.7074206,0.9118405,29.4360555,-0.3319667
21.9956768,19.5595742,-0.7067928,0.7074206,0.2644785,9.3749990,21.9956768,19.5595742,20.6527705,20.9036734,23.3385831,18.2154750,-0.7067928,0.7074206,0.9118405,29.4360555,-0.3319667
21.9871401,19.5708545,-0.7062979,0.7079147,0.2963814,14.0624990,21.9871401,19.5708545,20.6451740,20.9158924,23.3291062,18.2258165,-0.7062979,0.7079147,0.9012062,26.0562570,-0.3309758
21.9871401,19.5708545,-0.7062979,0.7079147,0.2963814,14.0624990,21.9871401,19.5708545,20.6451740,20.9158924,23.3291062,18.2258165,-0.7062979,0.7079147,0.9012062,26.0562570,-0.3309758
21.9871401,19.5708545,-0.7055534,0.7086568,0.3263536,18.7499981,21.9871401,19.5708545,20.6465886,20.9173023,23.3276915,18.2244066,-0.7055534,0.7086568,0.8912155,23.1930287,-0.3289912
21.9782081,19.5836668,-0.7055534,0.7086568,0.3263536,18.7499981,21.9782081,19.5836668,20.6376567,20.9301147,23.3187596,18.2372190,-0.7055534,0.7086568,0.8912155,23.1007085,-0.3299637
21.9782081,19.5836668,-0.7055534,0.7086568,0.3263536,18.7499981,21.9782081,19.5836668,20.6376567,20.9301147,23.3187596,18.2372190,-0.7055534,0.7086568,0.8912155,23.1007085,-0.3299637
21.9690622,19.5979065,-0.7045058,0.7096983,0.3524302,23.4374943,21.9690622,19.5979065,20.6305012,20.9463332,23.3076232,18.2494798,-0.7045058,0.7096983,0.8825233,20.5746225,-0.3288668
21.9690622,19.5979065,-0.7045058,0.7096983,0.3524302,23.4374943,21.9690622,19.5979065,20.6305012,20.9463332,23.3076232,18.2494798,-0.7045058,0.7096983,0.8825233,20.5746225,-0.3288668
21.9690622,19.5979065,-0.7032553,0.7109374,0.3807594,23.1007061,21.9690622,19.5979065,20.6328772,20.9486876,23.3052472,18.2471254,-0.7032553,0.7109374,0.8730802,18.2240744,-0.3255420
21.9594936,19.6134335,-0.7032553,0.7109374,0.3807594,23.1007061,21.9594936,19.6134335,20.6233086,20.9642146,23.2956786,18.2626524,-0.7032553,0.7109374,0.8730802,18.0135962,-0.3277039
21.9594936,19.6134335,-0.7032553,0.7109374,0.3807594,23.1007061,21.9594936,19.6134335,20.6233086,20.9642146,23.2956786,18.2626524,-0.7032553,0.7109374,0.8730802,18.0135962,-0.3277039
21.9489725,19.6300222,-0.7020004,0.7121766,0.4082085,20.5746212,21.9489725,19.6300222,20.6151718,20.9831577,23.2827732,18.2768867,-0.7020004,0.7121766,0.8639305,15.7441558,-0.3264489
21.9489725,19.6300222,-0.7020004,0.7121766,0.4082085,20.5746212,21.9489725,19.6300222,20.6151718,20.9831577,23.2827732,18.2768867,-0.7020004,0.7121766,0.8639305,15.7441558,-0.3264489
21.9489725,19.6300222,-0.7008052,0.7133527,0.4352006,18.0135956,21.9489725,19.6300222,20.6174426,20.9853923,23.2805024,18.2746521,-0.7008052,0.7133527,0.8549331,13.9121573,-0.3232809
