x;y
23.5449;17.4225
23.5295;17.4452
23.506;17.4685
23.4906;17.4912
23.4753;17.5141
23.4517;17.5372
23.4364;17.5601
23.4209;17.5829
23.3975;17.6061
23.3822;17.629
23.3667;17.6517
23.3432;17.6749
23.3277;17.6976
23.3122;17.7204
23.2885;17.7434
23.2729;17.766
23.2493;17.7891
23.2337;17.8118
23.2186;17.8348
23.1953;17.8581
23.1799;17.881
23.1565;17.9043
23.1413;17.9273
23.1262;17.9503
23.1027;17.9735
23.0876;17.9966
23.0722;18.0195
23.049;18.0428
23.0338;18.0658
23.0183;18.0886
22.9949;18.1118
22.9796;18.1347
22.9561;18.158
22.9407;18.1807
22.9254;18.2036
22.9016;18.2266
22.886;18.2493
22.8706;18.272
22.8468;18.295
22.8314;18.3178
22.808;18.341
22.7925;18.3638
22.7691;18.387
22.7539;18.41
22.7389;18.4332
22.724;18.4564
22.7007;18.4798
22.6855;18.5028
22.6624;18.5263
22.6472;18.5493
22.6321;18.5723
22.6093;18.6068
22.5938;18.6295
22.5704;18.6528
22.555;18.6757
22.5396;18.6984
22.516;18.7215
22.5006;18.7443
22.477;18.7674
22.4615;18.7902
22.4378;18.8131
22.4223;18.8359
22.4067;18.8586
22.3832;18.8817
22.3677;18.9044
22.3446;18.9279
22.3295;18.9511
22.3145;18.9742
22.2917;19.0087
22.2767;19.0318
22.2615;19.0548
22.2381;19.0781
22.2226;19.1008
22.199;19.1239
22.1834;19.1466
22.1597;19.1696
22.1442;19.1923
22.1206;19.2154
22.1052;19.2382
22.0818;19.2614
22.0664;19.2843
22.0432;19.3077
22.0282;19.3415
22.0047;19.3648
21.9893;19.3875
21.9658;19.4108
21.9504;19.4335
21.927;19.4568
21.9115;19.4795
21.8879;19.5026
21.8725;19.5254
21.8489;19.5485
21.834;19.5825
21.8106;19.6057
21.7954;19.6288
21.7803;19.6518
21.7568;19.675
21.7415;19.6979
21.7181;19.7211
21.7028;19.744
21.6792;19.7671
21.6639;19.8008
21.6403;19.8239
21.6247;19.8465
21.601;19.8695
21.5854;19.8921
21.5618;19.9152
21.5384;19.9385
21.523;19.9614
21.4998;19.9847
21.4851;20.0189
21.47;20.042
